,train_idx,test_idx
0,3433,9031.0
1,11696,5810.0
2,3196,1023.0
3,7455,2170.0
4,8705,247.0
5,3559,1137.0
6,6713,6354.0
7,2260,11957.0
8,4150,3021.0
9,6784,8049.0
10,11157,921.0
11,1112,6413.0
12,608,11760.0
13,7947,5480.0
14,5758,11270.0
15,3195,7183.0
16,11700,191.0
17,7172,10622.0
18,11749,4556.0
19,7883,6019.0
20,1152,6763.0
21,1768,1753.0
22,11576,4826.0
23,802,694.0
24,3552,9075.0
25,4774,9918.0
26,3774,1343.0
27,8329,3483.0
28,8699,8030.0
29,8936,863.0
30,11419,6574.0
31,8678,3448.0
32,6137,11150.0
33,10824,752.0
34,11566,9007.0
35,287,3828.0
36,5358,8304.0
37,5138,10572.0
38,9715,4161.0
39,11806,175.0
40,1389,5933.0
41,7360,10227.0
42,11083,9171.0
43,3923,10587.0
44,4762,2756.0
45,1180,7105.0
46,9527,10126.0
47,9306,11649.0
48,10892,5821.0
49,3997,6363.0
50,4361,2715.0
51,7085,10269.0
52,3898,3816.0
53,7425,3679.0
54,6237,8930.0
55,868,3644.0
56,2538,9535.0
57,1458,6921.0
58,8043,7132.0
59,8922,11561.0
60,7667,5935.0
61,11875,1365.0
62,5307,4522.0
63,9874,1281.0
64,6267,4923.0
65,4566,8695.0
66,10886,11093.0
67,2257,885.0
68,3508,577.0
69,8252,1875.0
70,11574,11632.0
71,11362,6449.0
72,1179,21.0
73,6327,8185.0
74,1024,9101.0
75,6191,10274.0
76,3043,2930.0
77,9316,8063.0
78,7329,7823.0
79,3452,6531.0
80,4994,2909.0
81,10665,2228.0
82,11525,9242.0
83,11173,10253.0
84,4283,5743.0
85,5025,8639.0
86,11220,1280.0
87,1243,10875.0
88,5223,8312.0
89,438,10712.0
90,11256,5056.0
91,843,7824.0
92,10471,588.0
93,2804,6000.0
94,8369,6643.0
95,11435,8479.0
96,975,11012.0
97,3904,4445.0
98,3221,4005.0
99,2599,8863.0
100,6374,6696.0
101,4249,5980.0
102,10363,4499.0
103,2587,6070.0
104,5519,4197.0
105,5224,2271.0
106,2836,9404.0
107,562,6933.0
108,9787,10643.0
109,2610,11397.0
110,9157,7414.0
111,10515,6107.0
112,1966,5618.0
113,3747,1178.0
114,4348,2185.0
115,10865,5771.0
116,2586,10008.0
